Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Brunei Darussalam,BRN,"International tourism, number of arrivals",ST.INT.ARVL,984000,840000,891000,944000,..,815000,836000,877000,..,..,..,..,..,..,..,..,4257000,4316000,4521000,4449000,1071000,..,..,..,..,..
Brunei Darussalam,BRN,Lending interest rate (%),FR.INR.LEND,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,..
Brunei Darussalam,BRN,Deposit interest rate (%),FR.INR.DPST,..,..,..,1.06475,1.04391666666666,1.006,1.0415,1.17275666666666,0.875761458333333,0.699921291666666,0.47054075,0.395686666666666,0.231537407407407,0.284346666666666,0.3,0.335774333333333,0.3411654,0.3155,0.312166666666666,0.36775,0.23,0.1385,0.141416666666666,0.192270833333333,0.388,..
Indonesia,IDN,"International tourism, number of arrivals",ST.INT.ARVL,5064000,5153000,5033000,4467000,5321000,5002000,4871000,5506000,6234000,6324000,7003000,7650000,8044000,8802000,9435000,10407000,11519000,14040000,15810000,16107000,4053000,..,..,..,..,..
Indonesia,IDN,Lending interest rate (%),FR.INR.LEND,18.455,18.5475,18.945,16.935,14.1241666666667,14.0508333333333,15.9791666666667,13.8616666666667,13.5983333333333,14.4983333333333,13.2516666666667,12.4033333333333,11.795,11.6575,12.605,12.6625,11.8883333333333,11.0733333333333,10.5366666666667,10.3658333333333,9.54416666666667,8.9225,8.52,8.92666666666667,8.79568784927158,..
Indonesia,IDN,Deposit interest rate (%),FR.INR.DPST,12.5033333333333,15.4816666666667,15.5025,10.59,6.44333333333333,8.07916666666667,11.4108333333333,7.97583333333333,8.4925,9.27833333333333,7.01666666666667,6.93083333333333,5.94666666666667,6.26416666666667,8.7525,8.33666666666667,7.1658935677562,6.51833333333333,6.12916666666667,6.68833333333333,5.50416666666667,3.66583333333333,3.21,4.63416666666667,5.42627869005442,..
Cambodia,KHM,"International tourism, number of arrivals",ST.INT.ARVL,466000,605000,787000,701000,1055000,1422000,1700000,2015000,2125000,2162000,2508000,2882000,3584000,4210000,4503000,4775000,5012000,5602000,6201000,6611000,1306000,..,..,..,..,..
Cambodia,KHM,Lending interest rate (%),FR.INR.LEND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Cambodia,KHM,Deposit interest rate (%),FR.INR.DPST,6.83,4.36166666666667,2.49166666666667,2.01666666666667,1.79166666666667,1.91666666666667,1.84166666666667,1.9046875,1.90520833333333,1.66333333333333,1.26459166666667,1.3380375,1.3337962962963,1.34340277777778,1.41875,1.41877083333333,1.43699166666667,1.52522321428571,1.37611111111111,1.43527777777778,1.48833333333333,1.39824074074074,1.49600505050505,1.51159090909091,1.5249696969697,..
Lao PDR,LAO,"International tourism, number of arrivals",ST.INT.ARVL,737000,674000,736000,636000,895000,1095000,1215000,1624000,1737000,2008000,2513000,2724000,3330000,3779000,4159000,4684000,4239000,3869000,4186000,4791000,886400.024414063,..,..,..,..,..
