metric,value
Observations,149
Countries used,7
Years used,23
Estimator,"Two-way FE, Driscoll-Kraay SE"
Hausman diagnostic,Diagnostic only; RE failed (float division by zero)
Within R-squared,0.0655
Slope-adjusted within R-squared,0.0260
R2 minus adjusted R2 gap,0.2867
Max VIF,7.1770
Lost-country note,"Brunei Darussalam, Cambodia, Lao PDR, Philippines, Thailand, Timor-Leste"
Regressors,"broad_money_growth_pct, deposit_interest_rate_pct, inflation_gdp_deflator_pct, trade_pct_gdp, ln_gdppc, xr_dep_pct"
