country,usable_years,first_usable_year,last_usable_year,window_length_years,internal_missing_years,internal_missing_year_list,is_contiguous_window
Brunei Darussalam,14,2010,2023,14,0,,True
Cambodia,14,2010,2023,14,0,,True
Indonesia,14,2010,2023,14,0,,True
Lao PDR,14,2010,2023,14,0,,True
Malaysia,14,2010,2023,14,0,,True
Myanmar,14,2010,2023,14,0,,True
Philippines,14,2010,2023,14,0,,True
Singapore,14,2010,2023,14,0,,True
Thailand,14,2010,2023,14,0,,True
Timor-Leste,14,2010,2023,14,0,,True
Viet Nam,14,2010,2023,14,0,,True
