model_id,test_model,condition_number,breusch_pagan_lm_stat,breusch_pagan_lm_p_value,breusch_pagan_f_stat,breusch_pagan_f_p_value,white_lm_stat,white_lm_p_value,white_f_stat,white_f_p_value,pesaran_cd_stat,pesaran_cd_p_value,pesaran_cd_country_pairs,pesaran_cd_min_pair_years,pesaran_cd_max_pair_years,main_estimator,main_covariance_type,random_effects_available,re_failure_reason,comparison_id,native_model_id,sample_mode,native_rows,common_rows
M1_baseline_liquidity__M1_vs_M2_common_sample,pooled_ols,1573.9563146516243,10.411825717527929,0.06437268084037413,2.1897051138977695,0.062209069558271074,52.99938804210533,8.128933616130538e-05,4.621973876848653,5.957065262286842e-07,-0.8610784578763251,0.3891948328793413,28,9,13,fixed_effects_driscoll_kraay,Driscoll-Kraay kernel Bartlett,True,,M1_vs_M2_common_sample,M1_baseline_liquidity,common_sample,112,96
M2_main_monetary_policy__M1_vs_M2_common_sample,pooled_ols,1737.556080203904,14.025292836942782,0.02935490144037416,2.5378784621232646,0.025806108506230035,59.206911175585404,0.00033481118197583465,4.052763901709886,1.5589240327568167e-06,-1.0877099429296286,0.27672317691125237,28,9,13,fixed_effects_driscoll_kraay,Driscoll-Kraay kernel Bartlett,True,,M1_vs_M2_common_sample,M2_main_monetary_policy,common_sample,96,96
M2_main_monetary_policy__M2_vs_M3_lagged_proxy_common_sample,pooled_ols,1789.5265304952936,14.845016623181788,0.021497000360407727,2.7394951808089743,0.017866243792799278,57.701906665224286,0.0005234805998903738,4.232162659188772,1.6725045260027986e-06,-1.1134850434029835,0.26550016839100454,28,8,12,fixed_effects_driscoll_kraay,Driscoll-Kraay kernel Bartlett,True,,M2_vs_M3_lagged_proxy_common_sample,M2_main_monetary_policy,common_sample,96,88
M3_lagged_main_model__M2_vs_M3_lagged_proxy_common_sample,pooled_ols,1715.83848094317,8.991348609130824,0.17406520397896444,1.5363280360623148,0.17686474779633907,32.375193300488135,0.21847365356743334,1.293395487911261,0.2022348120727495,0.018254763438578247,0.985435614992918,28,8,12,fixed_effects_driscoll_kraay,Driscoll-Kraay kernel Bartlett,True,,M2_vs_M3_lagged_proxy_common_sample,M3_lagged_main_model,common_sample,91,88
M2_main_monetary_policy__M2_vs_M5_lending_common_sample,pooled_ols,1737.556080203904,14.025292836942782,0.02935490144037416,2.5378784621232646,0.025806108506230035,59.206911175585404,0.00033481118197583465,4.052763901709886,1.5589240327568167e-06,-1.0877099429296286,0.27672317691125237,28,9,13,fixed_effects_driscoll_kraay,Driscoll-Kraay kernel Bartlett,True,,M2_vs_M5_lending_common_sample,M2_main_monetary_policy,common_sample,96,96
M5_lending_rate_robustness__M2_vs_M5_lending_common_sample,pooled_ols,3249.146978946863,12.039976361905868,0.061082899901426936,2.1271192522696363,0.057867794267023556,74.89029123717698,2.19137743588886e-06,8.934873875202253,1.6024780396363577e-13,-2.4281871271083504,0.015174511590990036,28,9,13,fixed_effects_driscoll_kraay,Driscoll-Kraay kernel Bartlett,True,,M2_vs_M5_lending_common_sample,M5_lending_rate_robustness,common_sample,96,96
M2_main_monetary_policy__M2_vs_M7a_appendix_common_sample,pooled_ols,3425.2474088941117,25.255732286825356,0.00030615779255603116,5.540046743493463,8.351723699957464e-05,46.45345374623951,0.011365148402914879,2.5892297762511554,0.0013975834037369438,-1.6060125511189116,0.10827115227429629,21,9,13,fixed_effects_driscoll_kraay,Driscoll-Kraay kernel Bartlett,False,float division by zero,M2_vs_M7a_appendix_common_sample,M2_main_monetary_policy,common_sample,96,83
M7a_human_capital_robustness_from_M2__M2_vs_M7a_appendix_common_sample,pooled_ols,4050.1131265163276,24.791900068395844,0.000826012375689629,4.563411295763493,0.0002749532022549984,48.70222602254734,0.06177794704452492,1.9068331411366441,0.01961740442772451,-1.5886280028623787,0.1121444022060345,21,9,13,fixed_effects_driscoll_kraay,Driscoll-Kraay kernel Bartlett,True,,M2_vs_M7a_appendix_common_sample,M7a_human_capital_robustness_from_M2,common_sample,83,83
M4_real_interest_robustness__M4_vs_M7b_appendix_common_sample,pooled_ols,3103.7363749556293,27.629848962790497,0.0001103056222948769,6.320699516004981,1.998537920478047e-05,47.498347475645645,0.00873031377348886,2.7253912459305862,0.0008125855929726961,-1.714920910921658,0.0863597282355495,21,9,13,fixed_effects_driscoll_kraay,Driscoll-Kraay kernel Bartlett,False,float division by zero,M4_vs_M7b_appendix_common_sample,M4_real_interest_robustness,common_sample,96,83
M7b_human_capital_robustness_from_M4__M4_vs_M7b_appendix_common_sample,pooled_ols,4179.066994573141,27.238925608102836,0.0003018361346706779,5.233859546253591,6.81366066576404e-05,48.90936121078419,0.05939383262817732,1.9265783038145425,0.018115568541440995,-1.6667445785127708,0.09556520465696394,21,9,13,fixed_effects_driscoll_kraay,Driscoll-Kraay kernel Bartlett,True,,M4_vs_M7b_appendix_common_sample,M7b_human_capital_robustness_from_M4,common_sample,83,83
