model_id,estimator,covariance_type,nobs,r_squared,within_r2,adj_r_squared,slope_adjusted_within_r2,r2_adj_r2_gap,comparison_id,native_model_id,sample_mode,native_rows,common_rows
M1_baseline_liquidity__M1_to_M2_common_sample,pooled_ols,country-clustered,149.0,0.7277914264311285,0.7277914264311285,0.7182736441385106,0.7182736441385106,0.009517782292617905,M1_to_M2_common_sample,M1_baseline_liquidity,common_sample,209,149
M1_baseline_liquidity__M1_to_M2_common_sample,fixed_effects,entity-clustered,149.0,0.03647359260600436,0.059854721970857616,-0.240016593863577,0.02698250945235614,0.27649018646958134,M1_to_M2_common_sample,M1_baseline_liquidity,common_sample,209,149
M1_baseline_liquidity__M1_to_M2_common_sample,fixed_effects_driscoll_kraay,Driscoll-Kraay kernel Bartlett,149.0,0.03647359260600436,0.059854721970857616,-0.240016593863577,0.02698250945235614,0.27649018646958134,M1_to_M2_common_sample,M1_baseline_liquidity,common_sample,209,149
M1_baseline_liquidity__M1_to_M2_common_sample,random_effects,entity-clustered,149.0,0.06947433062870045,0.05850867749661459,0.0369384680632705,0.025589400486006664,0.03253586256542995,M1_to_M2_common_sample,M1_baseline_liquidity,common_sample,209,149
M2_main_monetary_policy__M1_to_M2_common_sample,pooled_ols,country-clustered,149.0,0.7284546719949103,0.7284546719949103,0.7169809257411741,0.7169809257411741,0.011473746253736206,M1_to_M2_common_sample,M2_main_monetary_policy,common_sample,149,149
M2_main_monetary_policy__M1_to_M2_common_sample,fixed_effects,entity-clustered,149.0,0.03875140717351755,0.06546872762552369,-0.2479367696343806,0.0259814907646303,0.28668817680789815,M1_to_M2_common_sample,M2_main_monetary_policy,common_sample,149,149
M2_main_monetary_policy__M1_to_M2_common_sample,fixed_effects_driscoll_kraay,Driscoll-Kraay kernel Bartlett,149.0,0.03875140717351755,0.06546872762552369,-0.2479367696343806,0.0259814907646303,0.28668817680789815,M1_to_M2_common_sample,M2_main_monetary_policy,common_sample,149,149
M2_main_monetary_policy__M1_to_M2_common_sample,random_effects,entity-clustered,149.0,,,,,,M1_to_M2_common_sample,M2_main_monetary_policy,common_sample,149,149
M2_main_monetary_policy__M2_to_M3_lagged_common_sample,pooled_ols,country-clustered,141.0,0.7279517144884549,0.7279517144884549,0.7157704479730126,0.7157704479730125,0.012181266515442268,M2_to_M3_lagged_common_sample,M2_main_monetary_policy,common_sample,149,141
M2_main_monetary_policy__M2_to_M3_lagged_common_sample,fixed_effects,entity-clustered,141.0,0.038293870100704286,0.05843740400064823,-0.25830708584954576,0.016277884776796703,0.29660095595025004,M2_to_M3_lagged_common_sample,M2_main_monetary_policy,common_sample,149,141
M2_main_monetary_policy__M2_to_M3_lagged_common_sample,fixed_effects_driscoll_kraay,Driscoll-Kraay kernel Bartlett,141.0,0.038293870100704286,0.05843740400064823,-0.25830708584954576,0.016277884776796703,0.29660095595025004,M2_to_M3_lagged_common_sample,M2_main_monetary_policy,common_sample,149,141
M2_main_monetary_policy__M2_to_M3_lagged_common_sample,random_effects,entity-clustered,141.0,,,,,,M2_to_M3_lagged_common_sample,M2_main_monetary_policy,common_sample,149,141
M3_lagged_main_model__M2_to_M3_lagged_common_sample,pooled_ols,country-clustered,141.0,0.723070571692463,0.723070571692463,0.7106707465443645,0.7106707465443644,0.012399825148098564,M2_to_M3_lagged_common_sample,M3_lagged_main_model,common_sample,145,141
M3_lagged_main_model__M2_to_M3_lagged_common_sample,fixed_effects,entity-clustered,141.0,0.042032470286704426,0.054378846269715675,-0.25341545943795674,0.012037600580300012,0.29544792972466116,M2_to_M3_lagged_common_sample,M3_lagged_main_model,common_sample,145,141
M3_lagged_main_model__M2_to_M3_lagged_common_sample,fixed_effects_driscoll_kraay,Driscoll-Kraay kernel Bartlett,141.0,0.042032470286704426,0.054378846269715675,-0.25341545943795674,0.012037600580300012,0.29544792972466116,M2_to_M3_lagged_common_sample,M3_lagged_main_model,common_sample,145,141
M3_lagged_main_model__M2_to_M3_lagged_common_sample,random_effects,entity-clustered,141.0,,,,,,M2_to_M3_lagged_common_sample,M3_lagged_main_model,common_sample,145,141
M2_main_monetary_policy__M2_to_M5_lending_common_sample,pooled_ols,country-clustered,149.0,0.7284546719949103,0.7284546719949103,0.7169809257411741,0.7169809257411741,0.011473746253736206,M2_to_M5_lending_common_sample,M2_main_monetary_policy,common_sample,149,149
M2_main_monetary_policy__M2_to_M5_lending_common_sample,fixed_effects,entity-clustered,149.0,0.03875140717351755,0.06546872762552369,-0.2479367696343806,0.0259814907646303,0.28668817680789815,M2_to_M5_lending_common_sample,M2_main_monetary_policy,common_sample,149,149
M2_main_monetary_policy__M2_to_M5_lending_common_sample,fixed_effects_driscoll_kraay,Driscoll-Kraay kernel Bartlett,149.0,0.03875140717351755,0.06546872762552369,-0.2479367696343806,0.0259814907646303,0.28668817680789815,M2_to_M5_lending_common_sample,M2_main_monetary_policy,common_sample,149,149
M2_main_monetary_policy__M2_to_M5_lending_common_sample,random_effects,entity-clustered,149.0,,,,,,M2_to_M5_lending_common_sample,M2_main_monetary_policy,common_sample,149,149
M5_lending_rate_robustness__M2_to_M5_lending_common_sample,pooled_ols,country-clustered,149.0,0.7320773807077086,0.7320773807077086,0.7207567066531047,0.7207567066531047,0.011320674054603908,M2_to_M5_lending_common_sample,M5_lending_rate_robustness,common_sample,151,149
M5_lending_rate_robustness__M2_to_M5_lending_common_sample,fixed_effects,entity-clustered,149.0,0.05163762618656231,0.07480927177634611,-0.2312072923191999,0.03571670579506503,0.2828449185057622,M2_to_M5_lending_common_sample,M5_lending_rate_robustness,common_sample,151,149
M5_lending_rate_robustness__M2_to_M5_lending_common_sample,fixed_effects_driscoll_kraay,Driscoll-Kraay kernel Bartlett,149.0,0.05163762618656231,0.07480927177634611,-0.2312072923191999,0.03571670579506503,0.2828449185057622,M2_to_M5_lending_common_sample,M5_lending_rate_robustness,common_sample,151,149
M5_lending_rate_robustness__M2_to_M5_lending_common_sample,random_effects,entity-clustered,149.0,,,,,,M2_to_M5_lending_common_sample,M5_lending_rate_robustness,common_sample,151,149
M2_main_monetary_policy__M2_to_M6_tourism_common_sample,pooled_ols,country-clustered,149.0,0.7284546719949103,0.7284546719949103,0.7169809257411741,0.7169809257411741,0.011473746253736206,M2_to_M6_tourism_common_sample,M2_main_monetary_policy,common_sample,149,149
M2_main_monetary_policy__M2_to_M6_tourism_common_sample,fixed_effects,entity-clustered,149.0,0.03875140717351755,0.06546872762552369,-0.2479367696343806,0.0259814907646303,0.28668817680789815,M2_to_M6_tourism_common_sample,M2_main_monetary_policy,common_sample,149,149
M2_main_monetary_policy__M2_to_M6_tourism_common_sample,fixed_effects_driscoll_kraay,Driscoll-Kraay kernel Bartlett,149.0,0.03875140717351755,0.06546872762552369,-0.2479367696343806,0.0259814907646303,0.28668817680789815,M2_to_M6_tourism_common_sample,M2_main_monetary_policy,common_sample,149,149
M2_main_monetary_policy__M2_to_M6_tourism_common_sample,random_effects,entity-clustered,149.0,,,,,,M2_to_M6_tourism_common_sample,M2_main_monetary_policy,common_sample,149,149
M6_tourism_robustnessb_from_M2_main_monetary_policy__M2_to_M6_tourism_common_sample,pooled_ols,country-clustered,149.0,0.7463146880656624,0.7463146880656624,0.7337203817994187,0.7337203817994187,0.012594306266243693,M2_to_M6_tourism_common_sample,M6_tourism_robustnessb_from_M2_main_monetary_policy,common_sample,149,149
M6_tourism_robustnessb_from_M2_main_monetary_policy__M2_to_M6_tourism_common_sample,fixed_effects,entity-clustered,149.0,0.04256398978402065,0.039274656862514745,-0.2539869868315481,-0.008420927548566048,0.29655097661556873,M2_to_M6_tourism_common_sample,M6_tourism_robustnessb_from_M2_main_monetary_policy,common_sample,149,149
M6_tourism_robustnessb_from_M2_main_monetary_policy__M2_to_M6_tourism_common_sample,fixed_effects_driscoll_kraay,Driscoll-Kraay kernel Bartlett,149.0,0.04256398978402065,0.039274656862514745,-0.2539869868315481,-0.008420927548566048,0.29655097661556873,M2_to_M6_tourism_common_sample,M6_tourism_robustnessb_from_M2_main_monetary_policy,common_sample,149,149
M6_tourism_robustnessb_from_M2_main_monetary_policy__M2_to_M6_tourism_common_sample,random_effects,entity-clustered,149.0,0.7463146880656624,-0.4353990303149271,0.7337203817994187,-0.5066599750823348,0.012594306266243693,M2_to_M6_tourism_common_sample,M6_tourism_robustnessb_from_M2_main_monetary_policy,common_sample,149,149
M4_real_interest_robustness__M4_to_M6_tourism_common_sample,pooled_ols,country-clustered,151.0,0.7308122232931085,0.7308122232931085,0.7195960659303213,0.7195960659303213,0.011216157362787138,M4_to_M6_tourism_common_sample,M4_real_interest_robustness,common_sample,164,151
M4_real_interest_robustness__M4_to_M6_tourism_common_sample,fixed_effects,entity-clustered,151.0,0.045948970500919284,0.05243875356746652,-0.2336866760763976,0.012957034966110892,0.2796356465773169,M4_to_M6_tourism_common_sample,M4_real_interest_robustness,common_sample,164,151
M4_real_interest_robustness__M4_to_M6_tourism_common_sample,fixed_effects_driscoll_kraay,Driscoll-Kraay kernel Bartlett,151.0,0.045948970500919284,0.05243875356746652,-0.2336866760763976,0.012957034966110892,0.2796356465773169,M4_to_M6_tourism_common_sample,M4_real_interest_robustness,common_sample,164,151
M4_real_interest_robustness__M4_to_M6_tourism_common_sample,random_effects,entity-clustered,151.0,,,,,,M4_to_M6_tourism_common_sample,M4_real_interest_robustness,common_sample,164,151
M6_tourism_robustnessa_from_M4_real_interest_robustness__M4_to_M6_tourism_common_sample,pooled_ols,country-clustered,151.0,0.7445262648305966,0.7445262648305966,0.7320205575146118,0.7320205575146118,0.012505707315984771,M4_to_M6_tourism_common_sample,M6_tourism_robustnessa_from_M4_real_interest_robustness,common_sample,151,151
M6_tourism_robustnessa_from_M4_real_interest_robustness__M4_to_M6_tourism_common_sample,fixed_effects,entity-clustered,151.0,0.04999598078907297,0.03865031914124506,-0.23913567723164397,-0.008408756145547036,0.28913165802071694,M4_to_M6_tourism_common_sample,M6_tourism_robustnessa_from_M4_real_interest_robustness,common_sample,151,151
M6_tourism_robustnessa_from_M4_real_interest_robustness__M4_to_M6_tourism_common_sample,fixed_effects_driscoll_kraay,Driscoll-Kraay kernel Bartlett,151.0,0.04999598078907297,0.03865031914124506,-0.23913567723164397,-0.008408756145547036,0.28913165802071694,M4_to_M6_tourism_common_sample,M6_tourism_robustnessa_from_M4_real_interest_robustness,common_sample,151,151
M6_tourism_robustnessa_from_M4_real_interest_robustness__M4_to_M6_tourism_common_sample,random_effects,entity-clustered,151.0,0.7445262648305967,-0.4643926161040106,0.7320205575146119,-0.5360761707384727,0.012505707315984771,M4_to_M6_tourism_common_sample,M6_tourism_robustnessa_from_M4_real_interest_robustness,common_sample,151,151
M2_main_monetary_policy__M2_to_M7_hc_common_sample,pooled_ols,country-clustered,149.0,0.7284546719949103,0.7284546719949103,0.7169809257411741,0.7169809257411741,0.011473746253736206,M2_to_M7_hc_common_sample,M2_main_monetary_policy,common_sample,149,149
M2_main_monetary_policy__M2_to_M7_hc_common_sample,fixed_effects,entity-clustered,149.0,0.03875140717351755,0.06546872762552369,-0.2479367696343806,0.0259814907646303,0.28668817680789815,M2_to_M7_hc_common_sample,M2_main_monetary_policy,common_sample,149,149
M2_main_monetary_policy__M2_to_M7_hc_common_sample,fixed_effects_driscoll_kraay,Driscoll-Kraay kernel Bartlett,149.0,0.03875140717351755,0.06546872762552369,-0.2479367696343806,0.0259814907646303,0.28668817680789815,M2_to_M7_hc_common_sample,M2_main_monetary_policy,common_sample,149,149
M2_main_monetary_policy__M2_to_M7_hc_common_sample,random_effects,entity-clustered,149.0,,,,,,M2_to_M7_hc_common_sample,M2_main_monetary_policy,common_sample,149,149
M7_human_capital_robustnessb_from_M2_main_monetary_policy__M2_to_M7_hc_common_sample,pooled_ols,country-clustered,149.0,0.7304020429413249,0.7304020429413249,0.7170177472008233,0.7170177472008233,0.013384295740501595,M2_to_M7_hc_common_sample,M7_human_capital_robustnessb_from_M2_main_monetary_policy,common_sample,149,149
M7_human_capital_robustnessb_from_M2_main_monetary_policy__M2_to_M7_hc_common_sample,fixed_effects,entity-clustered,149.0,0.03877212849113765,0.06534604442011083,-0.25895331843638614,0.018944784214016908,0.2977254469275238,M2_to_M7_hc_common_sample,M7_human_capital_robustnessb_from_M2_main_monetary_policy,common_sample,149,149
M7_human_capital_robustnessb_from_M2_main_monetary_policy__M2_to_M7_hc_common_sample,fixed_effects_driscoll_kraay,Driscoll-Kraay kernel Bartlett,149.0,0.03877212849113765,0.06534604442011083,-0.25895331843638614,0.018944784214016908,0.2977254469275238,M2_to_M7_hc_common_sample,M7_human_capital_robustnessb_from_M2_main_monetary_policy,common_sample,149,149
M7_human_capital_robustnessb_from_M2_main_monetary_policy__M2_to_M7_hc_common_sample,random_effects,entity-clustered,149.0,0.7304020429413249,-0.2781466386524163,0.7170177472008233,-0.3416007270961532,0.013384295740501595,M2_to_M7_hc_common_sample,M7_human_capital_robustnessb_from_M2_main_monetary_policy,common_sample,149,149
M4_real_interest_robustness__M4_to_M7_hc_common_sample,pooled_ols,country-clustered,151.0,0.7308122232931085,0.7308122232931085,0.7195960659303213,0.7195960659303213,0.011216157362787138,M4_to_M7_hc_common_sample,M4_real_interest_robustness,common_sample,164,151
M4_real_interest_robustness__M4_to_M7_hc_common_sample,fixed_effects,entity-clustered,151.0,0.045948970500919284,0.05243875356746652,-0.2336866760763976,0.012957034966110892,0.2796356465773169,M4_to_M7_hc_common_sample,M4_real_interest_robustness,common_sample,164,151
M4_real_interest_robustness__M4_to_M7_hc_common_sample,fixed_effects_driscoll_kraay,Driscoll-Kraay kernel Bartlett,151.0,0.045948970500919284,0.05243875356746652,-0.2336866760763976,0.012957034966110892,0.2796356465773169,M4_to_M7_hc_common_sample,M4_real_interest_robustness,common_sample,164,151
M4_real_interest_robustness__M4_to_M7_hc_common_sample,random_effects,entity-clustered,151.0,,,,,,M4_to_M7_hc_common_sample,M4_real_interest_robustness,common_sample,164,151
