model_id,statistic,raw_statistic,degrees_of_freedom,p_value,negative_statistic_flag,variables,comparison_note,re_failure_reason,comparison_id,native_model_id,sample_mode,native_rows,common_rows
M1_baseline_liquidity__M1_to_M2_common_sample,5.06758423805152,5.06758423805152,5,0.4076879679212231,False,"broad_money_growth_pct, inflation_gdp_deflator_pct, trade_pct_gdp, ln_gdppc, xr_dep_pct",ok,,M1_to_M2_common_sample,M1_baseline_liquidity,common_sample,209,149
M2_main_monetary_policy__M1_to_M2_common_sample,,,6,,False,"broad_money_growth_pct, deposit_interest_rate_pct, inflation_gdp_deflator_pct, trade_pct_gdp, ln_gdppc, xr_dep_pct",random_effects_failed,float division by zero,M1_to_M2_common_sample,M2_main_monetary_policy,common_sample,149,149
M2_main_monetary_policy__M2_to_M3_lagged_common_sample,,,6,,False,"broad_money_growth_pct, deposit_interest_rate_pct, inflation_gdp_deflator_pct, trade_pct_gdp, ln_gdppc, xr_dep_pct",random_effects_failed,float division by zero,M2_to_M3_lagged_common_sample,M2_main_monetary_policy,common_sample,149,141
M3_lagged_main_model__M2_to_M3_lagged_common_sample,,,6,,False,"broad_money_growth_pct_lag1, deposit_interest_rate_pct_lag1, inflation_gdp_deflator_pct_lag1, trade_pct_gdp_lag1, ln_gdppc_lag1, xr_dep_pct_lag1",random_effects_failed,float division by zero,M2_to_M3_lagged_common_sample,M3_lagged_main_model,common_sample,145,141
M2_main_monetary_policy__M2_to_M5_lending_common_sample,,,6,,False,"broad_money_growth_pct, deposit_interest_rate_pct, inflation_gdp_deflator_pct, trade_pct_gdp, ln_gdppc, xr_dep_pct",random_effects_failed,float division by zero,M2_to_M5_lending_common_sample,M2_main_monetary_policy,common_sample,149,149
M5_lending_rate_robustness__M2_to_M5_lending_common_sample,,,6,,False,"broad_money_growth_pct, lending_interest_rate_pct, inflation_gdp_deflator_pct, trade_pct_gdp, ln_gdppc, xr_dep_pct",random_effects_failed,float division by zero,M2_to_M5_lending_common_sample,M5_lending_rate_robustness,common_sample,151,149
M2_main_monetary_policy__M2_to_M6_tourism_common_sample,,,6,,False,"broad_money_growth_pct, deposit_interest_rate_pct, inflation_gdp_deflator_pct, trade_pct_gdp, ln_gdppc, xr_dep_pct",random_effects_failed,float division by zero,M2_to_M6_tourism_common_sample,M2_main_monetary_policy,common_sample,149,149
M6_tourism_robustnessb_from_M2_main_monetary_policy__M2_to_M6_tourism_common_sample,0.0,-14.89943241576411,7,1.0,True,"broad_money_growth_pct, deposit_interest_rate_pct, inflation_gdp_deflator_pct, trade_pct_gdp, ln_gdppc, xr_dep_pct, ln_tourism_arrivals",ok,,M2_to_M6_tourism_common_sample,M6_tourism_robustnessb_from_M2_main_monetary_policy,common_sample,149,149
M4_real_interest_robustness__M4_to_M6_tourism_common_sample,,,6,,False,"broad_money_growth_pct, real_interest_rate_pct, inflation_gdp_deflator_pct, trade_pct_gdp, ln_gdppc, xr_dep_pct",random_effects_failed,float division by zero,M4_to_M6_tourism_common_sample,M4_real_interest_robustness,common_sample,164,151
M6_tourism_robustnessa_from_M4_real_interest_robustness__M4_to_M6_tourism_common_sample,0.0,-120.45448517962116,7,1.0,True,"broad_money_growth_pct, real_interest_rate_pct, inflation_gdp_deflator_pct, trade_pct_gdp, ln_gdppc, xr_dep_pct, ln_tourism_arrivals",ok,,M4_to_M6_tourism_common_sample,M6_tourism_robustnessa_from_M4_real_interest_robustness,common_sample,151,151
M2_main_monetary_policy__M2_to_M7_hc_common_sample,,,6,,False,"broad_money_growth_pct, deposit_interest_rate_pct, inflation_gdp_deflator_pct, trade_pct_gdp, ln_gdppc, xr_dep_pct",random_effects_failed,float division by zero,M2_to_M7_hc_common_sample,M2_main_monetary_policy,common_sample,149,149
M7_human_capital_robustnessb_from_M2_main_monetary_policy__M2_to_M7_hc_common_sample,2.7596504617435067,2.7596504617435067,7,0.9063109794206528,False,"broad_money_growth_pct, deposit_interest_rate_pct, inflation_gdp_deflator_pct, trade_pct_gdp, ln_gdppc, xr_dep_pct, hc_human_capital_index",ok,,M2_to_M7_hc_common_sample,M7_human_capital_robustnessb_from_M2_main_monetary_policy,common_sample,149,149
M4_real_interest_robustness__M4_to_M7_hc_common_sample,,,6,,False,"broad_money_growth_pct, real_interest_rate_pct, inflation_gdp_deflator_pct, trade_pct_gdp, ln_gdppc, xr_dep_pct",random_effects_failed,float division by zero,M4_to_M7_hc_common_sample,M4_real_interest_robustness,common_sample,164,151
M7_human_capital_robustnessa_from_M4_real_interest_robustness__M4_to_M7_hc_common_sample,23.562919139021318,23.562919139021318,7,0.0013593509003411164,False,"broad_money_growth_pct, real_interest_rate_pct, inflation_gdp_deflator_pct, trade_pct_gdp, ln_gdppc, xr_dep_pct, hc_human_capital_index",ok,,M4_to_M7_hc_common_sample,M7_human_capital_robustnessa_from_M4_real_interest_robustness,common_sample,151,151
