comparison_id,native_model_id,native_rows,common_rows,rows_used,countries_used,regressors
M1_to_M2_common_sample,M1_baseline_liquidity,209,149,149,7,"broad_money_growth_pct, inflation_gdp_deflator_pct, trade_pct_gdp, ln_gdppc, xr_dep_pct"
M1_to_M2_common_sample,M2_main_monetary_policy,149,149,149,7,"broad_money_growth_pct, deposit_interest_rate_pct, inflation_gdp_deflator_pct, trade_pct_gdp, ln_gdppc, xr_dep_pct"
M2_to_M3_lagged_common_sample,M2_main_monetary_policy,149,141,141,7,"broad_money_growth_pct, deposit_interest_rate_pct, inflation_gdp_deflator_pct, trade_pct_gdp, ln_gdppc, xr_dep_pct"
M2_to_M3_lagged_common_sample,M3_lagged_main_model,145,141,141,7,"broad_money_growth_pct_lag1, deposit_interest_rate_pct_lag1, inflation_gdp_deflator_pct_lag1, trade_pct_gdp_lag1, ln_gdppc_lag1, xr_dep_pct_lag1"
M2_to_M5_lending_common_sample,M2_main_monetary_policy,149,149,149,7,"broad_money_growth_pct, deposit_interest_rate_pct, inflation_gdp_deflator_pct, trade_pct_gdp, ln_gdppc, xr_dep_pct"
M2_to_M5_lending_common_sample,M5_lending_rate_robustness,151,149,149,7,"broad_money_growth_pct, lending_interest_rate_pct, inflation_gdp_deflator_pct, trade_pct_gdp, ln_gdppc, xr_dep_pct"
M2_to_M6_tourism_common_sample,M2_main_monetary_policy,149,149,149,7,"broad_money_growth_pct, deposit_interest_rate_pct, inflation_gdp_deflator_pct, trade_pct_gdp, ln_gdppc, xr_dep_pct"
M2_to_M6_tourism_common_sample,M6_tourism_robustnessb_from_M2_main_monetary_policy,149,149,149,7,"broad_money_growth_pct, deposit_interest_rate_pct, inflation_gdp_deflator_pct, trade_pct_gdp, ln_gdppc, xr_dep_pct, ln_tourism_arrivals"
M2_to_M7_hc_common_sample,M2_main_monetary_policy,149,149,149,7,"broad_money_growth_pct, deposit_interest_rate_pct, inflation_gdp_deflator_pct, trade_pct_gdp, ln_gdppc, xr_dep_pct"
M2_to_M7_hc_common_sample,M7_human_capital_robustnessb_from_M2_main_monetary_policy,149,149,149,7,"broad_money_growth_pct, deposit_interest_rate_pct, inflation_gdp_deflator_pct, trade_pct_gdp, ln_gdppc, xr_dep_pct, hc_human_capital_index"
M4_to_M6_tourism_common_sample,M4_real_interest_robustness,164,151,151,7,"broad_money_growth_pct, real_interest_rate_pct, inflation_gdp_deflator_pct, trade_pct_gdp, ln_gdppc, xr_dep_pct"
M4_to_M6_tourism_common_sample,M6_tourism_robustnessa_from_M4_real_interest_robustness,151,151,151,7,"broad_money_growth_pct, real_interest_rate_pct, inflation_gdp_deflator_pct, trade_pct_gdp, ln_gdppc, xr_dep_pct, ln_tourism_arrivals"
M4_to_M7_hc_common_sample,M4_real_interest_robustness,164,151,151,7,"broad_money_growth_pct, real_interest_rate_pct, inflation_gdp_deflator_pct, trade_pct_gdp, ln_gdppc, xr_dep_pct"
M4_to_M7_hc_common_sample,M7_human_capital_robustnessa_from_M4_real_interest_robustness,151,151,151,7,"broad_money_growth_pct, real_interest_rate_pct, inflation_gdp_deflator_pct, trade_pct_gdp, ln_gdppc, xr_dep_pct, hc_human_capital_index"
