model_id,rows_used,rows_dropped,countries_used,years_used,regressors,comparison_id,native_model_id,sample_mode,native_rows,common_rows
M1_baseline_liquidity__M1_to_M2_common_sample,149,0,7,23,"broad_money_growth_pct, inflation_gdp_deflator_pct, trade_pct_gdp, ln_gdppc, xr_dep_pct",M1_to_M2_common_sample,M1_baseline_liquidity,common_sample,209,149
M2_main_monetary_policy__M1_to_M2_common_sample,149,0,7,23,"broad_money_growth_pct, deposit_interest_rate_pct, inflation_gdp_deflator_pct, trade_pct_gdp, ln_gdppc, xr_dep_pct",M1_to_M2_common_sample,M2_main_monetary_policy,common_sample,149,149
M2_main_monetary_policy__M2_to_M3_lagged_common_sample,141,0,7,22,"broad_money_growth_pct, deposit_interest_rate_pct, inflation_gdp_deflator_pct, trade_pct_gdp, ln_gdppc, xr_dep_pct",M2_to_M3_lagged_common_sample,M2_main_monetary_policy,common_sample,149,141
M3_lagged_main_model__M2_to_M3_lagged_common_sample,141,0,7,22,"broad_money_growth_pct_lag1, deposit_interest_rate_pct_lag1, inflation_gdp_deflator_pct_lag1, trade_pct_gdp_lag1, ln_gdppc_lag1, xr_dep_pct_lag1",M2_to_M3_lagged_common_sample,M3_lagged_main_model,common_sample,145,141
M2_main_monetary_policy__M2_to_M5_lending_common_sample,149,0,7,23,"broad_money_growth_pct, deposit_interest_rate_pct, inflation_gdp_deflator_pct, trade_pct_gdp, ln_gdppc, xr_dep_pct",M2_to_M5_lending_common_sample,M2_main_monetary_policy,common_sample,149,149
M5_lending_rate_robustness__M2_to_M5_lending_common_sample,149,0,7,23,"broad_money_growth_pct, lending_interest_rate_pct, inflation_gdp_deflator_pct, trade_pct_gdp, ln_gdppc, xr_dep_pct",M2_to_M5_lending_common_sample,M5_lending_rate_robustness,common_sample,151,149
M2_main_monetary_policy__M2_to_M6_tourism_common_sample,149,0,7,23,"broad_money_growth_pct, deposit_interest_rate_pct, inflation_gdp_deflator_pct, trade_pct_gdp, ln_gdppc, xr_dep_pct",M2_to_M6_tourism_common_sample,M2_main_monetary_policy,common_sample,149,149
M6_tourism_robustnessb_from_M2_main_monetary_policy__M2_to_M6_tourism_common_sample,149,0,7,23,"broad_money_growth_pct, deposit_interest_rate_pct, inflation_gdp_deflator_pct, trade_pct_gdp, ln_gdppc, xr_dep_pct, ln_tourism_arrivals",M2_to_M6_tourism_common_sample,M6_tourism_robustnessb_from_M2_main_monetary_policy,common_sample,149,149
M4_real_interest_robustness__M4_to_M6_tourism_common_sample,151,0,7,23,"broad_money_growth_pct, real_interest_rate_pct, inflation_gdp_deflator_pct, trade_pct_gdp, ln_gdppc, xr_dep_pct",M4_to_M6_tourism_common_sample,M4_real_interest_robustness,common_sample,164,151
M6_tourism_robustnessa_from_M4_real_interest_robustness__M4_to_M6_tourism_common_sample,151,0,7,23,"broad_money_growth_pct, real_interest_rate_pct, inflation_gdp_deflator_pct, trade_pct_gdp, ln_gdppc, xr_dep_pct, ln_tourism_arrivals",M4_to_M6_tourism_common_sample,M6_tourism_robustnessa_from_M4_real_interest_robustness,common_sample,151,151
M2_main_monetary_policy__M2_to_M7_hc_common_sample,149,0,7,23,"broad_money_growth_pct, deposit_interest_rate_pct, inflation_gdp_deflator_pct, trade_pct_gdp, ln_gdppc, xr_dep_pct",M2_to_M7_hc_common_sample,M2_main_monetary_policy,common_sample,149,149
M7_human_capital_robustnessb_from_M2_main_monetary_policy__M2_to_M7_hc_common_sample,149,0,7,23,"broad_money_growth_pct, deposit_interest_rate_pct, inflation_gdp_deflator_pct, trade_pct_gdp, ln_gdppc, xr_dep_pct, hc_human_capital_index",M2_to_M7_hc_common_sample,M7_human_capital_robustnessb_from_M2_main_monetary_policy,common_sample,149,149
M4_real_interest_robustness__M4_to_M7_hc_common_sample,151,0,7,23,"broad_money_growth_pct, real_interest_rate_pct, inflation_gdp_deflator_pct, trade_pct_gdp, ln_gdppc, xr_dep_pct",M4_to_M7_hc_common_sample,M4_real_interest_robustness,common_sample,164,151
M7_human_capital_robustnessa_from_M4_real_interest_robustness__M4_to_M7_hc_common_sample,151,0,7,23,"broad_money_growth_pct, real_interest_rate_pct, inflation_gdp_deflator_pct, trade_pct_gdp, ln_gdppc, xr_dep_pct, hc_human_capital_index",M4_to_M7_hc_common_sample,M7_human_capital_robustnessa_from_M4_real_interest_robustness,common_sample,151,151
