model_id,variable,vif,comparison_id,native_model_id,sample_mode,native_rows,common_rows
M1_baseline_liquidity__M1_to_M2_common_sample,broad_money_growth_pct,3.1093623849061007,M1_to_M2_common_sample,M1_baseline_liquidity,common_sample,209,149
M1_baseline_liquidity__M1_to_M2_common_sample,inflation_gdp_deflator_pct,1.589116066641841,M1_to_M2_common_sample,M1_baseline_liquidity,common_sample,209,149
M1_baseline_liquidity__M1_to_M2_common_sample,trade_pct_gdp,3.360882134668633,M1_to_M2_common_sample,M1_baseline_liquidity,common_sample,209,149
M1_baseline_liquidity__M1_to_M2_common_sample,ln_gdppc,5.507454369595512,M1_to_M2_common_sample,M1_baseline_liquidity,common_sample,209,149
M1_baseline_liquidity__M1_to_M2_common_sample,xr_dep_pct,1.0509309968960643,M1_to_M2_common_sample,M1_baseline_liquidity,common_sample,209,149
M2_main_monetary_policy__M1_to_M2_common_sample,broad_money_growth_pct,3.7908327707530285,M1_to_M2_common_sample,M2_main_monetary_policy,common_sample,149,149
M2_main_monetary_policy__M1_to_M2_common_sample,deposit_interest_rate_pct,4.365168388646567,M1_to_M2_common_sample,M2_main_monetary_policy,common_sample,149,149
M2_main_monetary_policy__M1_to_M2_common_sample,inflation_gdp_deflator_pct,1.815445162803177,M1_to_M2_common_sample,M2_main_monetary_policy,common_sample,149,149
M2_main_monetary_policy__M1_to_M2_common_sample,trade_pct_gdp,4.0493072493695355,M1_to_M2_common_sample,M2_main_monetary_policy,common_sample,149,149
M2_main_monetary_policy__M1_to_M2_common_sample,ln_gdppc,7.176973809351371,M1_to_M2_common_sample,M2_main_monetary_policy,common_sample,149,149
M2_main_monetary_policy__M1_to_M2_common_sample,xr_dep_pct,1.1203232564558403,M1_to_M2_common_sample,M2_main_monetary_policy,common_sample,149,149
M2_main_monetary_policy__M2_to_M3_lagged_common_sample,broad_money_growth_pct,3.8854402239419095,M2_to_M3_lagged_common_sample,M2_main_monetary_policy,common_sample,149,141
M2_main_monetary_policy__M2_to_M3_lagged_common_sample,deposit_interest_rate_pct,4.405531077548225,M2_to_M3_lagged_common_sample,M2_main_monetary_policy,common_sample,149,141
M2_main_monetary_policy__M2_to_M3_lagged_common_sample,inflation_gdp_deflator_pct,1.7949381252294683,M2_to_M3_lagged_common_sample,M2_main_monetary_policy,common_sample,149,141
M2_main_monetary_policy__M2_to_M3_lagged_common_sample,trade_pct_gdp,4.11534743621921,M2_to_M3_lagged_common_sample,M2_main_monetary_policy,common_sample,149,141
M2_main_monetary_policy__M2_to_M3_lagged_common_sample,ln_gdppc,7.19899481655591,M2_to_M3_lagged_common_sample,M2_main_monetary_policy,common_sample,149,141
M2_main_monetary_policy__M2_to_M3_lagged_common_sample,xr_dep_pct,1.0642953890900817,M2_to_M3_lagged_common_sample,M2_main_monetary_policy,common_sample,149,141
M3_lagged_main_model__M2_to_M3_lagged_common_sample,broad_money_growth_pct_lag1,3.824794607113926,M2_to_M3_lagged_common_sample,M3_lagged_main_model,common_sample,145,141
M3_lagged_main_model__M2_to_M3_lagged_common_sample,deposit_interest_rate_pct_lag1,4.35315422029627,M2_to_M3_lagged_common_sample,M3_lagged_main_model,common_sample,145,141
M3_lagged_main_model__M2_to_M3_lagged_common_sample,inflation_gdp_deflator_pct_lag1,1.8620451044872168,M2_to_M3_lagged_common_sample,M3_lagged_main_model,common_sample,145,141
M3_lagged_main_model__M2_to_M3_lagged_common_sample,trade_pct_gdp_lag1,3.9781075847211014,M2_to_M3_lagged_common_sample,M3_lagged_main_model,common_sample,145,141
M3_lagged_main_model__M2_to_M3_lagged_common_sample,ln_gdppc_lag1,7.137471659030059,M2_to_M3_lagged_common_sample,M3_lagged_main_model,common_sample,145,141
M3_lagged_main_model__M2_to_M3_lagged_common_sample,xr_dep_pct_lag1,1.127398842967867,M2_to_M3_lagged_common_sample,M3_lagged_main_model,common_sample,145,141
M2_main_monetary_policy__M2_to_M5_lending_common_sample,broad_money_growth_pct,3.7908327707530285,M2_to_M5_lending_common_sample,M2_main_monetary_policy,common_sample,149,149
M2_main_monetary_policy__M2_to_M5_lending_common_sample,deposit_interest_rate_pct,4.365168388646567,M2_to_M5_lending_common_sample,M2_main_monetary_policy,common_sample,149,149
M2_main_monetary_policy__M2_to_M5_lending_common_sample,inflation_gdp_deflator_pct,1.815445162803177,M2_to_M5_lending_common_sample,M2_main_monetary_policy,common_sample,149,149
M2_main_monetary_policy__M2_to_M5_lending_common_sample,trade_pct_gdp,4.0493072493695355,M2_to_M5_lending_common_sample,M2_main_monetary_policy,common_sample,149,149
M2_main_monetary_policy__M2_to_M5_lending_common_sample,ln_gdppc,7.176973809351371,M2_to_M5_lending_common_sample,M2_main_monetary_policy,common_sample,149,149
M2_main_monetary_policy__M2_to_M5_lending_common_sample,xr_dep_pct,1.1203232564558403,M2_to_M5_lending_common_sample,M2_main_monetary_policy,common_sample,149,149
M5_lending_rate_robustness__M2_to_M5_lending_common_sample,broad_money_growth_pct,3.556338201082425,M2_to_M5_lending_common_sample,M5_lending_rate_robustness,common_sample,151,149
M5_lending_rate_robustness__M2_to_M5_lending_common_sample,lending_interest_rate_pct,10.117775794997947,M2_to_M5_lending_common_sample,M5_lending_rate_robustness,common_sample,151,149
M5_lending_rate_robustness__M2_to_M5_lending_common_sample,inflation_gdp_deflator_pct,1.798903417135822,M2_to_M5_lending_common_sample,M5_lending_rate_robustness,common_sample,151,149
