,fdi_pct_gdp,broad_money_growth_pct,inflation_gdp_deflator_pct,trade_pct_gdp,ln_gdppc,xr_dep_pct,deposit_interest_rate_pct,real_interest_rate_pct,lending_interest_rate_pct,ln_tourism_arrivals,hc_human_capital_index
fdi_pct_gdp,260,239,260,236,260,250,213,205,192,240,240
broad_money_growth_pct,239,240,240,219,240,230,211,203,190,219,219
inflation_gdp_deflator_pct,260,240,264,240,264,253,213,205,192,240,240
trade_pct_gdp,236,219,240,240,240,230,192,184,171,216,216
ln_gdppc,260,240,264,240,264,253,213,205,192,240,240
xr_dep_pct,250,230,253,230,253,253,204,196,183,230,230
deposit_interest_rate_pct,213,211,213,192,213,204,213,189,189,213,213
real_interest_rate_pct,205,203,205,184,205,196,189,205,192,192,192
lending_interest_rate_pct,192,190,192,171,192,183,189,192,192,192,192
ln_tourism_arrivals,240,219,240,216,240,230,213,192,192,240,240
hc_human_capital_index,240,219,240,216,240,230,213,192,192,240,240
