,fdi_pct_gdp,fdi_pct_gdp_winsorized,broad_money_growth_pct,trade_pct_gdp,inflation_gdp_deflator_pct,deposit_interest_rate_pct,real_interest_rate_pct,lending_interest_rate_pct,hc_human_capital_index,ln_gdppc,xr_dep_pct,xr_dep_pct_winsorized,ln_population_total,ln_tourism_arrivals
fdi_pct_gdp,260.0,260.0,239.0,236.0,260.0,213.0,205.0,192.0,240.0,260.0,250.0,250.0,240.0,240.0
fdi_pct_gdp_winsorized,260.0,260.0,239.0,236.0,260.0,213.0,205.0,192.0,240.0,260.0,250.0,250.0,240.0,240.0
broad_money_growth_pct,239.0,239.0,240.0,219.0,240.0,211.0,203.0,190.0,219.0,240.0,230.0,230.0,219.0,219.0
trade_pct_gdp,236.0,236.0,219.0,240.0,240.0,192.0,184.0,171.0,216.0,240.0,230.0,230.0,216.0,216.0
inflation_gdp_deflator_pct,260.0,260.0,240.0,240.0,264.0,213.0,205.0,192.0,240.0,264.0,253.0,253.0,240.0,240.0
deposit_interest_rate_pct,213.0,213.0,211.0,192.0,213.0,213.0,189.0,189.0,213.0,213.0,204.0,204.0,213.0,213.0
real_interest_rate_pct,205.0,205.0,203.0,184.0,205.0,189.0,205.0,192.0,192.0,205.0,196.0,196.0,192.0,192.0
lending_interest_rate_pct,192.0,192.0,190.0,171.0,192.0,189.0,192.0,192.0,192.0,192.0,183.0,183.0,192.0,192.0
hc_human_capital_index,240.0,240.0,219.0,216.0,240.0,213.0,192.0,192.0,240.0,240.0,230.0,230.0,240.0,240.0
ln_gdppc,260.0,260.0,240.0,240.0,264.0,213.0,205.0,192.0,240.0,264.0,253.0,253.0,240.0,240.0
xr_dep_pct,250.0,250.0,230.0,230.0,253.0,204.0,196.0,183.0,230.0,253.0,253.0,253.0,230.0,230.0
xr_dep_pct_winsorized,250.0,250.0,230.0,230.0,253.0,204.0,196.0,183.0,230.0,253.0,253.0,253.0,230.0,230.0
ln_population_total,240.0,240.0,219.0,216.0,240.0,213.0,192.0,192.0,240.0,240.0,230.0,230.0,240.0,240.0
ln_tourism_arrivals,240.0,240.0,219.0,216.0,240.0,213.0,192.0,192.0,240.0,240.0,230.0,230.0,240.0,240.0
