country,fdi_pct_gdp,broad_money_growth_pct,deposit_interest_rate_pct,real_interest_rate_pct,lending_interest_rate_pct,trade_pct_gdp,inflation_gdp_deflator_pct,ln_gdppc,xr_dep_pct,ln_tourism_arrivals,ln_population_total,hc_human_capital_index
Brunei Darussalam,24,24,21,24,24,24,24,24,23,24,24,24
Cambodia,24,24,24,0,0,24,24,24,23,24,24,24
Indonesia,24,24,24,24,24,24,24,24,23,24,24,24
Lao PDR,24,11,11,11,11,24,24,24,23,24,24,24
Malaysia,24,24,24,24,24,24,24,24,23,24,24,24
Myanmar,24,21,21,21,21,0,24,24,23,24,24,24
Philippines,24,23,20,20,20,24,24,24,23,24,24,24
Singapore,24,21,22,22,22,24,24,24,23,24,24,24
Thailand,24,24,22,22,22,24,24,24,23,24,24,24
Timor-Leste,20,21,0,13,0,24,24,24,23,0,0,0
Viet Nam,24,23,24,24,24,24,24,24,23,24,24,24
