country,fdi_pct_gdp,fdi_pct_gdp_winsorized,broad_money_growth_pct,trade_pct_gdp,inflation_gdp_deflator_pct,deposit_interest_rate_pct,real_interest_rate_pct,lending_interest_rate_pct,hc_human_capital_index,ln_gdppc,xr_dep_pct,xr_dep_pct_winsorized,ln_population_total,ln_tourism_arrivals
Brunei Darussalam,24,24,24,24,24,21,24,24,24,24,23,23,24,24
Cambodia,24,24,24,24,24,24,0,0,24,24,23,23,24,24
Indonesia,24,24,24,24,24,24,24,24,24,24,23,23,24,24
Lao PDR,24,24,11,24,24,11,11,11,24,24,23,23,24,24
Malaysia,24,24,24,24,24,24,24,24,24,24,23,23,24,24
Myanmar,24,24,21,0,24,21,21,21,24,24,23,23,24,24
Philippines,24,24,23,24,24,20,20,20,24,24,23,23,24,24
Singapore,24,24,21,24,24,22,22,22,24,24,23,23,24,24
Thailand,24,24,24,24,24,22,22,22,24,24,23,23,24,24
Timor-Leste,20,20,21,24,24,0,13,0,0,24,23,23,0,0
Viet Nam,24,24,23,24,24,24,24,24,24,24,23,23,24,24
