,non_missing,total_rows,missing,missing_rate
country_id,264,264,0,0.0
country_code,264,264,0,0.0
country,264,264,0,0.0
year,264,264,0,0.0
fdi_pct_gdp,260,264,4,0.015151515151515152
fdi_pct_gdp_winsorized,260,264,4,0.015151515151515152
broad_money_growth_pct,240,264,24,0.09090909090909091
trade_pct_gdp,240,264,24,0.09090909090909091
inflation_gdp_deflator_pct,264,264,0,0.0
deposit_interest_rate_pct,213,264,51,0.19318181818181818
real_interest_rate_pct,205,264,59,0.22348484848484848
lending_interest_rate_pct,192,264,72,0.2727272727272727
hc_human_capital_index,240,264,24,0.09090909090909091
ln_gdppc,264,264,0,0.0
xr_dep_pct,253,264,11,0.041666666666666664
xr_dep_pct_winsorized,253,264,11,0.041666666666666664
ln_population_total,240,264,24,0.09090909090909091
ln_tourism_arrivals,240,264,24,0.09090909090909091
