,Broad Money Growth (%),Real Interest Rate (%),GDP Growth (%),ln(GDP per Capita),Trade (% GDP),Δln(Exchange Rate) (%),Inflation (%),Regulatory Quality,Rule of Law,WGI Composite
Broad Money Growth (%),1.0,0.2558220971133331,0.39633682719102814,-0.5825505574721366,-0.2041237748150208,0.17198621410906234,0.3084699832731696,-0.6012682867399196,-0.5541658437031279,-0.5712016563896698
Real Interest Rate (%),0.2558220971133331,1.0,-0.01688949982528119,-0.2351343911794466,-0.19282817038695427,0.17464837952151438,-0.5212306878995261,-0.3048380051106533,-0.2908522264504632,-0.28349834237242655
GDP Growth (%),0.39633682719102814,-0.01688949982528119,1.0,-0.4833503784293042,0.05157607631538544,0.020658178089838043,0.25712187128376157,-0.3744787593182086,-0.3386434159633512,-0.3466896440832907
ln(GDP per Capita),-0.5825505574721366,-0.2351343911794466,-0.4833503784293042,1.0,0.5667125491649251,-0.17121561017841008,-0.3688849935993828,0.9039403464956438,0.9113969732139854,0.9222896199801186
Trade (% GDP),-0.2041237748150208,-0.19282817038695427,0.05157607631538544,0.5667125491649251,1.0,-0.19132106315301933,-0.186485997874506,0.7194963355277775,0.728328641441406,0.7602666818641536
Δln(Exchange Rate) (%),0.17198621410906234,0.17464837952151438,0.020658178089838043,-0.17121561017841008,-0.19132106315301933,1.0,0.05742913456106109,-0.1660102923629187,-0.1380562462530737,-0.15169681520389341
Inflation (%),0.3084699832731696,-0.5212306878995261,0.25712187128376157,-0.3688849935993828,-0.186485997874506,0.05742913456106109,1.0,-0.3675112494938906,-0.32895189231173844,-0.3470424569016048
Regulatory Quality,-0.6012682867399196,-0.3048380051106533,-0.3744787593182086,0.9039403464956438,0.7194963355277775,-0.1660102923629187,-0.3675112494938906,1.0,0.958846031686931,0.9786204725037116
Rule of Law,-0.5541658437031279,-0.2908522264504632,-0.3386434159633512,0.9113969732139854,0.728328641441406,-0.1380562462530737,-0.32895189231173844,0.958846031686931,1.0,0.9866985285227023
WGI Composite,-0.5712016563896698,-0.28349834237242655,-0.3466896440832907,0.9222896199801186,0.7602666818641536,-0.15169681520389341,-0.3470424569016048,0.9786204725037116,0.9866985285227023,1.0
