variable,label,n,mean,median,std,min,max
fdi_pct_gdp,FDI (% GDP),240,5.232779052995046,3.301306803523802,6.0158776855704525,-1.5761057506473832,28.282482730031735
bm_growth,Broad Money Growth (%),240,15.27609929795213,11.753374486336202,12.148179851893603,-1.936401692770487,47.028943948113024
real_interest_rate,Real Interest Rate (%),216,4.989595951752883,4.519925311215468,6.735362702200259,-14.68686501966418,27.092781841957336
gdp_growth,GDP Growth (%),240,5.06818660596979,5.502748244661191,3.7410917412684515,-7.879006782427648,13.676908147676594
ln_gdppc,ln(GDP per Capita),240,8.169567903329812,7.968563277220378,1.4837758601916278,5.332626407287553,11.210373410755608
trade_pct_gdp,Trade (% GDP),216,134.43062727931184,116.76420792792541,88.6910884302984,37.88693546592328,417.5944928632511
d_ln_exr,Δln(Exchange Rate) (%),240,1.2721882941496536,0.6002518482041808,6.46414186721028,-9.602153247843008,31.572474657456347
inflation,Inflation (%),240,5.234022679691855,3.840900543633019,6.576380408015443,-12.073689811933493,24.826256392462387
rq,Regulatory Quality,230,0.028354550721739157,0.012946699999999998,1.0095013823850487,-2.20799026,2.175251382
rl,Rule of Law,230,-0.3140101318956522,-0.3945696499999999,0.8552747598729628,-1.824714768,1.544123856
wgi_composite,WGI Composite,230,-0.12003335712391304,-0.24351045,0.9498247701450704,-1.776939013,2.0087274335
