model_id,estimator,covariance_type,nobs,r_squared,within_r2,adj_r_squared,slope_adjusted_within_r2,r2_adj_r2_gap
M1_baseline_liquidity,pooled_ols,country-clustered,116.0,0.7071893694250646,0.7071893694250646,0.693879795308022,0.693879795308022,0.0133095741170425
M1_baseline_liquidity,fixed_effects,entity-clustered,116.0,0.0448368413968693,0.0010717563499221,-0.2341995869591013,-0.0443340729068995,0.2790364283559707
M1_baseline_liquidity,fixed_effects_driscoll_kraay,Driscoll-Kraay kernel Bartlett,116.0,0.0448368413968693,0.0010717563499221,-0.2341995869591013,-0.0443340729068995,0.2790364283559707
M1_baseline_liquidity,random_effects,entity-clustered,116.0,0.1971117191603388,-0.1322060406605929,0.1606167973039906,-0.1836699515997109,0.0364949218563482
M2_main_monetary_policy,pooled_ols,country-clustered,110.0,0.6999802365302897,0.6999802365302897,0.6825033571048698,0.6825033571048698,0.0174768794254199
M2_main_monetary_policy,fixed_effects,entity-clustered,110.0,0.092237791445088,-0.0106365248691959,-0.1921214546082579,-0.0695085554441006,0.2843592460533459
M2_main_monetary_policy,fixed_effects_driscoll_kraay,Driscoll-Kraay kernel Bartlett,110.0,0.092237791445088,-0.0106365248691959,-0.1921214546082579,-0.0695085554441006,0.2843592460533459
M2_main_monetary_policy,random_effects,entity-clustered,110.0,0.6585259315833629,-0.3097591372109496,0.6386342382775394,-0.3860557859805194,0.0198916933058235
M3_lagged_main_model,pooled_ols,country-clustered,109.0,0.7015303181855299,0.7015303181855299,0.6839732780787964,0.6839732780787964,0.0175570401067335
M3_lagged_main_model,fixed_effects,entity-clustered,109.0,0.0934300942147766,-0.0280803790431214,-0.1940189003024892,-0.0885556954574227,0.2874489945172659
M3_lagged_main_model,fixed_effects_driscoll_kraay,Driscoll-Kraay kernel Bartlett,109.0,0.0934300942147766,-0.0280803790431214,-0.1940189003024892,-0.0885556954574227,0.2874489945172659
M3_lagged_main_model,random_effects,entity-clustered,109.0,0.6052781399352536,-0.2859969746999418,0.5820592069902685,-0.3616438555646444,0.0232189329449851
M4_real_interest_robustness,pooled_ols,country-clustered,96.0,0.7382362480613207,0.7382362480613207,0.7236938173980607,0.7236938173980607,0.0145424306632599
M4_real_interest_robustness,fixed_effects,entity-clustered,96.0,0.2155710364301424,0.0477705567538433,-0.0495880498469925,-0.0051310789820542,0.2651590862771349
M4_real_interest_robustness,fixed_effects_driscoll_kraay,Driscoll-Kraay kernel Bartlett,96.0,0.2155710364301424,0.0477705567538433,-0.0495880498469925,-0.0051310789820542,0.2651590862771349
M4_real_interest_robustness,random_effects,entity-clustered,96.0,0.2543753364318538,-0.0787612709749974,0.2129517440114012,-0.1386924526958306,0.0414235924204525
M5_lending_rate_robustness,pooled_ols,country-clustered,96.0,0.744467240391674,0.744467240391674,0.7272403127776296,0.7272403127776295,0.0172269276140444
M5_lending_rate_robustness,fixed_effects,entity-clustered,96.0,0.2451624545512245,0.0813409456400982,-0.0244223831090524,0.0194088745596554,0.2695848376602769
M5_lending_rate_robustness,fixed_effects_driscoll_kraay,Driscoll-Kraay kernel Bartlett,96.0,0.2451624545512245,0.0813409456400982,-0.0244223831090524,0.0194088745596554,0.2695848376602769
M5_lending_rate_robustness,random_effects,entity-clustered,96.0,0.4050847830074386,-0.183837364651016,0.3649781391652434,-0.2636466251892868,0.0401066438421952
M6a_tourism_robustness_from_M2,pooled_ols,country-clustered,110.0,0.744414055580376,0.744414055580376,0.726873843708441,0.726873843708441,0.0175402118719349
M6a_tourism_robustness_from_M2,fixed_effects,entity-clustered,110.0,0.1045803535896484,-0.0988154078487228,-0.190252944618638,-0.1742243083873607,0.2948332982082865
M6a_tourism_robustness_from_M2,fixed_effects_driscoll_kraay,Driscoll-Kraay kernel Bartlett,110.0,0.1045803535896484,-0.0988154078487228,-0.190252944618638,-0.1742243083873607,0.2948332982082865
M6a_tourism_robustness_from_M2,random_effects,entity-clustered,110.0,0.5882600589365797,-0.2924228952179768,0.5600033963145803,-0.3811185841054849,0.0282566626219994
M6b_tourism_robustness_from_M4,pooled_ols,country-clustered,96.0,0.7672500221849614,0.7672500221849614,0.7515590124446218,0.7515590124446218,0.0156910097403396
M6b_tourism_robustness_from_M4,fixed_effects,entity-clustered,96.0,0.2506588972071435,-0.204710500127363,-0.0169629252188765,-0.2859269383381966,0.26762182242602
M6b_tourism_robustness_from_M4,fixed_effects_driscoll_kraay,Driscoll-Kraay kernel Bartlett,96.0,0.2506588972071435,-0.204710500127363,-0.0169629252188765,-0.2859269383381966,0.26762182242602
M6b_tourism_robustness_from_M4,random_effects,entity-clustered,96.0,0.3655415255975477,-0.1202674266625767,0.3227690441771577,-0.1957910734038741,0.04277248142039
M7a_human_capital_robustness_from_M2,pooled_ols,country-clustered,97.0,0.8439527209553704,0.8439527209553704,0.8316793394574782,0.8316793394574782,0.0122733814978922
M7a_human_capital_robustness_from_M2,fixed_effects,entity-clustered,97.0,0.1806790221056028,0.0838062465158671,-0.1236401982551731,0.0117460636575644,0.3043192203607759
M7a_human_capital_robustness_from_M2,fixed_effects_driscoll_kraay,Driscoll-Kraay kernel Bartlett,97.0,0.1806790221056028,0.0838062465158671,-0.1236401982551731,0.0117460636575644,0.3043192203607759
M7a_human_capital_robustness_from_M2,random_effects,entity-clustered,97.0,,,,,
M7b_human_capital_robustness_from_M4,pooled_ols,country-clustered,84.0,0.8635468502399106,0.8635468502399106,0.8529141372715919,0.8529141372715919,0.0106327129683186
M7b_human_capital_robustness_from_M4,fixed_effects,entity-clustered,84.0,0.1899836278241554,0.1113347266250041,-0.1395145574677136,0.0420880819464329,0.3294981852918691
M7b_human_capital_robustness_from_M4,fixed_effects_driscoll_kraay,Driscoll-Kraay kernel Bartlett,84.0,0.1899836278241554,0.1113347266250041,-0.1395145574677136,0.0420880819464329,0.3294981852918691
M7b_human_capital_robustness_from_M4,random_effects,entity-clustered,84.0,,,,,
