variable,role_group,missing_rate,severity_band,structural_missing_countries,mechanism_assessment,recommended_handling
hc_human_capital_index,control,0.09090909090909091,<10%,1,MCAR_not_rejected,leave_missing_and_report_limitation
inflation_gdp_deflator_pct,control,0.0,<10%,0,complete,within_country_interpolate_then_edge_fill
ln_gdppc,control,0.0,<10%,0,complete,within_country_interpolate_then_edge_fill
ln_population_total,control,0.0,<10%,0,complete,within_country_interpolate_then_edge_fill
ln_tourism_arrivals,control,0.2662337662337662,10-30%,0,MCAR_not_rejected,within_country_interpolate_then_edge_fill_keep_structural_country_gaps
trade_pct_gdp,control,0.13636363636363635,10-30%,1,MCAR_not_rejected,within_country_interpolate_then_edge_fill_keep_structural_country_gaps
xr_dep_pct,control,0.09090909090909091,<10%,0,MCAR_not_rejected,within_country_interpolate_and_edge_fill_except_structural_2010
fdi_pct_gdp,dependent,0.0,<10%,0,complete,observed_only_no_imputation
broad_money_pct_gdp,key_independent,0.13636363636363635,10-30%,0,MCAR_not_rejected,observed_only_no_imputation
deposit_interest_rate_pct,key_independent,0.14285714285714285,10-30%,0,MCAR_not_rejected,observed_only_no_imputation
lending_interest_rate_pct,key_independent,0.24025974025974026,10-30%,1,MCAR_not_rejected,observed_only_no_imputation
real_interest_rate_pct,key_independent,0.24025974025974026,10-30%,1,MCAR_not_rejected,observed_only_no_imputation
