model_id,country,usable_years,first_usable_year,last_usable_year,window_length_years,internal_missing_years,internal_missing_year_list,is_contiguous_window
M1_baseline_liquidity,Brunei Darussalam,13,2011,2023,13,0,,True
M1_baseline_liquidity,Cambodia,13,2011,2023,13,0,,True
M1_baseline_liquidity,Indonesia,13,2011,2023,13,0,,True
M1_baseline_liquidity,Lao PDR,1,2011,2011,1,0,,True
M1_baseline_liquidity,Malaysia,13,2011,2023,13,0,,True
M1_baseline_liquidity,Philippines,13,2011,2023,13,0,,True
M1_baseline_liquidity,Singapore,11,2011,2021,11,0,,True
M1_baseline_liquidity,Thailand,13,2011,2023,13,0,,True
M1_baseline_liquidity,Timor-Leste,13,2011,2023,13,0,,True
M1_baseline_liquidity,Viet Nam,13,2011,2023,13,0,,True
M2_main_monetary_policy,Brunei Darussalam,13,2011,2023,13,0,,True
M2_main_monetary_policy,Cambodia,13,2011,2023,13,0,,True
M2_main_monetary_policy,Indonesia,13,2011,2023,13,0,,True
M2_main_monetary_policy,Malaysia,13,2011,2023,13,0,,True
M2_main_monetary_policy,Philippines,10,2011,2020,10,0,,True
M2_main_monetary_policy,Singapore,10,2011,2020,10,0,,True
M2_main_monetary_policy,Thailand,13,2011,2023,13,0,,True
M2_main_monetary_policy,Timor-Leste,13,2011,2023,13,0,,True
M2_main_monetary_policy,Viet Nam,12,2011,2022,12,0,,True
M3_lagged_main_model,Brunei Darussalam,13,2011,2023,13,0,,True
M3_lagged_main_model,Cambodia,13,2011,2023,13,0,,True
M3_lagged_main_model,Indonesia,13,2011,2023,13,0,,True
M3_lagged_main_model,Malaysia,13,2011,2023,13,0,,True
M3_lagged_main_model,Philippines,9,2011,2019,9,0,,True
M3_lagged_main_model,Singapore,10,2011,2020,10,0,,True
M3_lagged_main_model,Thailand,13,2011,2023,13,0,,True
M3_lagged_main_model,Timor-Leste,13,2011,2023,13,0,,True
M3_lagged_main_model,Viet Nam,12,2011,2022,12,0,,True
M4_real_interest_robustness,Brunei Darussalam,13,2011,2023,13,0,,True
M4_real_interest_robustness,Indonesia,13,2011,2023,13,0,,True
M4_real_interest_robustness,Malaysia,13,2011,2023,13,0,,True
M4_real_interest_robustness,Philippines,10,2011,2020,10,0,,True
M4_real_interest_robustness,Singapore,10,2011,2020,10,0,,True
M4_real_interest_robustness,Thailand,13,2011,2023,13,0,,True
M4_real_interest_robustness,Timor-Leste,12,2012,2023,12,0,,True
M4_real_interest_robustness,Viet Nam,12,2011,2022,12,0,,True
M5_lending_rate_robustness,Brunei Darussalam,13,2011,2023,13,0,,True
M5_lending_rate_robustness,Indonesia,13,2011,2023,13,0,,True
M5_lending_rate_robustness,Malaysia,13,2011,2023,13,0,,True
M5_lending_rate_robustness,Philippines,10,2011,2020,10,0,,True
M5_lending_rate_robustness,Singapore,10,2011,2020,10,0,,True
M5_lending_rate_robustness,Thailand,13,2011,2023,13,0,,True
M5_lending_rate_robustness,Timor-Leste,12,2012,2023,12,0,,True
M5_lending_rate_robustness,Viet Nam,12,2011,2022,12,0,,True
M6a_tourism_robustness_from_M2,Brunei Darussalam,13,2011,2023,13,0,,True
M6a_tourism_robustness_from_M2,Cambodia,13,2011,2023,13,0,,True
M6a_tourism_robustness_from_M2,Indonesia,13,2011,2023,13,0,,True
M6a_tourism_robustness_from_M2,Malaysia,13,2011,2023,13,0,,True
M6a_tourism_robustness_from_M2,Philippines,10,2011,2020,10,0,,True
M6a_tourism_robustness_from_M2,Singapore,10,2011,2020,10,0,,True
M6a_tourism_robustness_from_M2,Thailand,13,2011,2023,13,0,,True
M6a_tourism_robustness_from_M2,Timor-Leste,13,2011,2023,13,0,,True
M6a_tourism_robustness_from_M2,Viet Nam,12,2011,2022,12,0,,True
M6b_tourism_robustness_from_M4,Brunei Darussalam,13,2011,2023,13,0,,True
M6b_tourism_robustness_from_M4,Indonesia,13,2011,2023,13,0,,True
M6b_tourism_robustness_from_M4,Malaysia,13,2011,2023,13,0,,True
M6b_tourism_robustness_from_M4,Philippines,10,2011,2020,10,0,,True
M6b_tourism_robustness_from_M4,Singapore,10,2011,2020,10,0,,True
M6b_tourism_robustness_from_M4,Thailand,13,2011,2023,13,0,,True
M6b_tourism_robustness_from_M4,Timor-Leste,12,2012,2023,12,0,,True
M6b_tourism_robustness_from_M4,Viet Nam,12,2011,2022,12,0,,True
M7a_human_capital_robustness_from_M2,Brunei Darussalam,13,2011,2023,13,0,,True
M7a_human_capital_robustness_from_M2,Cambodia,13,2011,2023,13,0,,True
M7a_human_capital_robustness_from_M2,Indonesia,13,2011,2023,13,0,,True
M7a_human_capital_robustness_from_M2,Malaysia,13,2011,2023,13,0,,True
M7a_human_capital_robustness_from_M2,Philippines,10,2011,2020,10,0,,True
M7a_human_capital_robustness_from_M2,Singapore,10,2011,2020,10,0,,True
M7a_human_capital_robustness_from_M2,Thailand,13,2011,2023,13,0,,True
M7a_human_capital_robustness_from_M2,Viet Nam,12,2011,2022,12,0,,True
M7b_human_capital_robustness_from_M4,Brunei Darussalam,13,2011,2023,13,0,,True
M7b_human_capital_robustness_from_M4,Indonesia,13,2011,2023,13,0,,True
M7b_human_capital_robustness_from_M4,Malaysia,13,2011,2023,13,0,,True
M7b_human_capital_robustness_from_M4,Philippines,10,2011,2020,10,0,,True
M7b_human_capital_robustness_from_M4,Singapore,10,2011,2020,10,0,,True
M7b_human_capital_robustness_from_M4,Thailand,13,2011,2023,13,0,,True
M7b_human_capital_robustness_from_M4,Viet Nam,12,2011,2022,12,0,,True
