,Baseline theory fit,Baseline + exchange rate,Full preferred specification
Estimator,Fixed effects,Fixed effects,Random effects
Hausman p-value,0.0000,0.0000,1.0000
Hausman raw statistic,32.4866,45.8767,-13.3172
Hausman negative-stat flag,False,False,True
Observations,119,109,73
R-squared,0.0806,0.0934,0.9051
Countries used,10,9,8
Years used,14,13,10
Condition number,1480.9337,1517.2974,5622.0935
Breusch-Pagan p-value,0.0404,0.0484,0.0023
White test p-value,0.0000,0.0006,0.6746
Max VIF,10.8316,11.1325,1126.7555
