specification,country,usable_years,first_usable_year,last_usable_year,window_length_years,internal_missing_years,internal_missing_year_list,is_contiguous_window
baseline_theory_fit,Brunei Darussalam,14,2010,2023,14,0,,True
baseline_theory_fit,Cambodia,14,2010,2023,14,0,,True
baseline_theory_fit,Indonesia,14,2010,2023,14,0,,True
baseline_theory_fit,Lao PDR,1,2010,2010,1,0,,True
baseline_theory_fit,Malaysia,14,2010,2023,14,0,,True
baseline_theory_fit,Philippines,10,2010,2019,10,0,,True
baseline_theory_fit,Singapore,11,2010,2020,11,0,,True
baseline_theory_fit,Thailand,14,2010,2023,14,0,,True
baseline_theory_fit,Timor-Leste,14,2010,2023,14,0,,True
baseline_theory_fit,Viet Nam,13,2010,2022,13,0,,True
baseline_with_xr,Brunei Darussalam,13,2011,2023,13,0,,True
baseline_with_xr,Cambodia,13,2011,2023,13,0,,True
baseline_with_xr,Indonesia,13,2011,2023,13,0,,True
baseline_with_xr,Malaysia,13,2011,2023,13,0,,True
baseline_with_xr,Philippines,9,2011,2019,9,0,,True
baseline_with_xr,Singapore,10,2011,2020,10,0,,True
baseline_with_xr,Thailand,13,2011,2023,13,0,,True
baseline_with_xr,Timor-Leste,13,2011,2023,13,0,,True
baseline_with_xr,Viet Nam,12,2011,2022,12,0,,True
full_saturated_diagnostic_only,Brunei Darussalam,13,2011,2023,13,0,,True
full_saturated_diagnostic_only,Cambodia,13,2011,2023,13,0,,True
full_saturated_diagnostic_only,Indonesia,13,2011,2023,13,0,,True
full_saturated_diagnostic_only,Malaysia,13,2011,2023,13,0,,True
full_saturated_diagnostic_only,Philippines,9,2011,2019,9,0,,True
full_saturated_diagnostic_only,Singapore,10,2011,2020,10,0,,True
full_saturated_diagnostic_only,Thailand,13,2011,2023,13,0,,True
full_saturated_diagnostic_only,Viet Nam,12,2011,2022,12,0,,True
lending_rate_robustness,Brunei Darussalam,13,2011,2023,13,0,,True
lending_rate_robustness,Indonesia,13,2011,2023,13,0,,True
lending_rate_robustness,Malaysia,13,2011,2023,13,0,,True
lending_rate_robustness,Philippines,9,2011,2019,9,0,,True
lending_rate_robustness,Singapore,10,2011,2020,10,0,,True
lending_rate_robustness,Thailand,13,2011,2023,13,0,,True
lending_rate_robustness,Timor-Leste,13,2011,2023,13,0,,True
lending_rate_robustness,Viet Nam,12,2011,2022,12,0,,True
liquidity_broad_sample,Brunei Darussalam,14,2010,2023,14,0,,True
liquidity_broad_sample,Cambodia,14,2010,2023,14,0,,True
liquidity_broad_sample,Indonesia,14,2010,2023,14,0,,True
liquidity_broad_sample,Lao PDR,1,2010,2010,1,0,,True
liquidity_broad_sample,Malaysia,14,2010,2023,14,0,,True
liquidity_broad_sample,Myanmar,11,2010,2020,11,0,,True
liquidity_broad_sample,Philippines,13,2010,2022,13,0,,True
liquidity_broad_sample,Singapore,11,2010,2020,11,0,,True
liquidity_broad_sample,Thailand,14,2010,2023,14,0,,True
liquidity_broad_sample,Timor-Leste,14,2010,2023,14,0,,True
liquidity_broad_sample,Viet Nam,13,2010,2022,13,0,,True
real_interest_robustness,Brunei Darussalam,13,2011,2023,13,0,,True
real_interest_robustness,Indonesia,13,2011,2023,13,0,,True
real_interest_robustness,Malaysia,13,2011,2023,13,0,,True
real_interest_robustness,Philippines,9,2011,2019,9,0,,True
real_interest_robustness,Singapore,10,2011,2020,10,0,,True
real_interest_robustness,Thailand,13,2011,2023,13,0,,True
real_interest_robustness,Timor-Leste,13,2011,2023,13,0,,True
real_interest_robustness,Viet Nam,12,2011,2022,12,0,,True
spec_broad_money_only,Brunei Darussalam,13,2011,2023,13,0,,True
spec_broad_money_only,Cambodia,13,2011,2023,13,0,,True
spec_broad_money_only,Indonesia,13,2011,2023,13,0,,True
spec_broad_money_only,Malaysia,13,2011,2023,13,0,,True
spec_broad_money_only,Philippines,12,2011,2022,12,0,,True
spec_broad_money_only,Singapore,10,2011,2020,10,0,,True
spec_broad_money_only,Thailand,13,2011,2023,13,0,,True
spec_broad_money_only,Timor-Leste,13,2011,2023,13,0,,True
spec_broad_money_only,Viet Nam,12,2011,2022,12,0,,True
spec_deposit_rate,Brunei Darussalam,13,2011,2023,13,0,,True
spec_deposit_rate,Cambodia,13,2011,2023,13,0,,True
spec_deposit_rate,Indonesia,13,2011,2023,13,0,,True
spec_deposit_rate,Malaysia,13,2011,2023,13,0,,True
spec_deposit_rate,Philippines,9,2011,2019,9,0,,True
spec_deposit_rate,Singapore,11,2011,2021,11,0,,True
spec_deposit_rate,Thailand,13,2011,2023,13,0,,True
spec_deposit_rate,Timor-Leste,13,2011,2023,13,0,,True
spec_deposit_rate,Viet Nam,13,2011,2023,13,0,,True
spec_real_rate,Brunei Darussalam,13,2011,2023,13,0,,True
spec_real_rate,Indonesia,13,2011,2023,13,0,,True
spec_real_rate,Malaysia,13,2011,2023,13,0,,True
spec_real_rate,Philippines,9,2011,2019,9,0,,True
spec_real_rate,Singapore,11,2011,2021,11,0,,True
spec_real_rate,Thailand,13,2011,2023,13,0,,True
spec_real_rate,Timor-Leste,13,2011,2023,13,0,,True
spec_real_rate,Viet Nam,13,2011,2023,13,0,,True
