specification,country,rows_used
baseline_theory_fit,Brunei Darussalam,14
baseline_theory_fit,Cambodia,14
baseline_theory_fit,Indonesia,14
baseline_theory_fit,Lao PDR,1
baseline_theory_fit,Malaysia,14
baseline_theory_fit,Philippines,10
baseline_theory_fit,Singapore,11
baseline_theory_fit,Thailand,14
baseline_theory_fit,Timor-Leste,14
baseline_theory_fit,Viet Nam,13
baseline_with_xr,Brunei Darussalam,13
baseline_with_xr,Cambodia,13
baseline_with_xr,Indonesia,13
baseline_with_xr,Malaysia,13
baseline_with_xr,Philippines,9
baseline_with_xr,Singapore,10
baseline_with_xr,Thailand,13
baseline_with_xr,Timor-Leste,13
baseline_with_xr,Viet Nam,12
full_saturated_diagnostic_only,Brunei Darussalam,13
full_saturated_diagnostic_only,Cambodia,13
full_saturated_diagnostic_only,Indonesia,13
full_saturated_diagnostic_only,Malaysia,13
full_saturated_diagnostic_only,Philippines,9
full_saturated_diagnostic_only,Singapore,10
full_saturated_diagnostic_only,Thailand,13
full_saturated_diagnostic_only,Viet Nam,12
lending_rate_robustness,Brunei Darussalam,13
lending_rate_robustness,Indonesia,13
lending_rate_robustness,Malaysia,13
lending_rate_robustness,Philippines,9
lending_rate_robustness,Singapore,10
lending_rate_robustness,Thailand,13
lending_rate_robustness,Timor-Leste,13
lending_rate_robustness,Viet Nam,12
liquidity_broad_sample,Brunei Darussalam,14
liquidity_broad_sample,Cambodia,14
liquidity_broad_sample,Indonesia,14
liquidity_broad_sample,Lao PDR,1
liquidity_broad_sample,Malaysia,14
liquidity_broad_sample,Myanmar,11
liquidity_broad_sample,Philippines,13
liquidity_broad_sample,Singapore,11
liquidity_broad_sample,Thailand,14
liquidity_broad_sample,Timor-Leste,14
liquidity_broad_sample,Viet Nam,13
real_interest_robustness,Brunei Darussalam,13
real_interest_robustness,Indonesia,13
real_interest_robustness,Malaysia,13
real_interest_robustness,Philippines,9
real_interest_robustness,Singapore,10
real_interest_robustness,Thailand,13
real_interest_robustness,Timor-Leste,13
real_interest_robustness,Viet Nam,12
spec_broad_money_only,Brunei Darussalam,13
spec_broad_money_only,Cambodia,13
spec_broad_money_only,Indonesia,13
spec_broad_money_only,Malaysia,13
spec_broad_money_only,Philippines,12
spec_broad_money_only,Singapore,10
spec_broad_money_only,Thailand,13
spec_broad_money_only,Timor-Leste,13
spec_broad_money_only,Viet Nam,12
spec_deposit_rate,Brunei Darussalam,13
spec_deposit_rate,Cambodia,13
spec_deposit_rate,Indonesia,13
spec_deposit_rate,Malaysia,13
spec_deposit_rate,Philippines,9
spec_deposit_rate,Singapore,11
spec_deposit_rate,Thailand,13
spec_deposit_rate,Timor-Leste,13
spec_deposit_rate,Viet Nam,13
spec_real_rate,Brunei Darussalam,13
spec_real_rate,Indonesia,13
spec_real_rate,Malaysia,13
spec_real_rate,Philippines,9
spec_real_rate,Singapore,11
spec_real_rate,Thailand,13
spec_real_rate,Timor-Leste,13
spec_real_rate,Viet Nam,13
