variable,corr,direction,pairwise_n
trade_pct_gdp,0.7962597309015683,positive,236
hc_human_capital_index,0.2700273706382429,positive,240
ln_tourism_arrivals,0.16474331401309006,positive,240
ln_gdppc,0.16384743114384964,positive,260
broad_money_growth_pct,-0.01187750514159638,positive,239
xr_dep_pct,-0.04028560089990125,positive,250
real_interest_rate_pct,-0.06345305414875621,positive,205
xr_dep_pct_winsorized,-0.06789446405880924,positive,250
inflation_gdp_deflator_pct,-0.11873983000087591,positive,260
lending_interest_rate_pct,-0.2253322709732905,positive,192
ln_population_total,-0.29418631994731004,positive,240
deposit_interest_rate_pct,-0.37408004491986185,positive,213
deposit_interest_rate_pct,-0.37408004491986185,negative,213
ln_population_total,-0.29418631994731004,negative,240
lending_interest_rate_pct,-0.2253322709732905,negative,192
inflation_gdp_deflator_pct,-0.11873983000087591,negative,260
xr_dep_pct_winsorized,-0.06789446405880924,negative,250
real_interest_rate_pct,-0.06345305414875621,negative,205
xr_dep_pct,-0.04028560089990125,negative,250
broad_money_growth_pct,-0.01187750514159638,negative,239
ln_gdppc,0.16384743114384964,negative,260
ln_tourism_arrivals,0.16474331401309006,negative,240
hc_human_capital_index,0.2700273706382429,negative,240
trade_pct_gdp,0.7962597309015683,negative,236
