variable,non_missing,total_rows,missing,missing_rate,recommended_handling
country_id,264,264,0,0.0,processed_from_current_raw_inputs
country_code,264,264,0,0.0,processed_from_current_raw_inputs
country,264,264,0,0.0,processed_from_current_raw_inputs
year,264,264,0,0.0,processed_from_current_raw_inputs
fdi_pct_gdp,260,264,4,0.015151515151515152,processed_from_current_raw_inputs
fdi_pct_gdp_winsorized,260,264,4,0.015151515151515152,processed_from_current_raw_inputs
broad_money_growth_pct,240,264,24,0.09090909090909091,processed_from_current_raw_inputs
trade_pct_gdp,240,264,24,0.09090909090909091,processed_from_current_raw_inputs
inflation_gdp_deflator_pct,264,264,0,0.0,processed_from_current_raw_inputs
deposit_interest_rate_pct,213,264,51,0.19318181818181818,processed_from_current_raw_inputs
real_interest_rate_pct,205,264,59,0.22348484848484848,processed_from_current_raw_inputs
lending_interest_rate_pct,192,264,72,0.2727272727272727,processed_from_current_raw_inputs
hc_human_capital_index,240,264,24,0.09090909090909091,leave_missing_and_report_limitation
ln_gdppc,264,264,0,0.0,processed_from_current_raw_inputs
xr_dep_pct,253,264,11,0.041666666666666664,processed_from_current_raw_inputs
xr_dep_pct_winsorized,253,264,11,0.041666666666666664,processed_from_current_raw_inputs
ln_population_total,240,264,24,0.09090909090909091,processed_from_current_raw_inputs
ln_tourism_arrivals,240,264,24,0.09090909090909091,processed_from_current_raw_inputs
